"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DLY-CLDD-BASE40","DLY-CLDD-BASE45","DLY-CLDD-BASE50","DLY-CLDD-BASE55","DLY-CLDD-BASE57","DLY-CLDD-BASE60","DLY-CLDD-BASE70","DLY-CLDD-BASE72","DLY-CLDD-NORMAL","DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","DLY-GRDD-BASE40","DLY-GRDD-BASE45","DLY-GRDD-BASE50","DLY-GRDD-BASE55","DLY-GRDD-BASE57","DLY-GRDD-BASE60","DLY-GRDD-BASE65","DLY-GRDD-BASE70","DLY-GRDD-BASE72","DLY-GRDD-TB4886","DLY-GRDD-TB5086","DLY-HTDD-BASE40","DLY-HTDD-BASE45","DLY-HTDD-BASE50","DLY-HTDD-BASE55","DLY-HTDD-BASE57","DLY-HTDD-BASE60","DLY-HTDD-NORMAL","DLY-PRCP-20PCTL","DLY-PRCP-25PCTL","DLY-PRCP-33PCTL","DLY-PRCP-40PCTL","DLY-PRCP-50PCTL","DLY-PRCP-60PCTL","DLY-PRCP-67PCTL","DLY-PRCP-75PCTL","DLY-PRCP-80PCTL","DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE025HI","DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","DLY-PRCP-PCTALL-GE200HI","DLY-PRCP-PCTALL-GE400HI","DLY-PRCP-PCTALL-GE600HI","DLY-SNOW-20PCTL","DLY-SNOW-25PCTL","DLY-SNOW-33PCTL","DLY-SNOW-40PCTL","DLY-SNOW-50PCTL","DLY-SNOW-60PCTL","DLY-SNOW-67PCTL","DLY-SNOW-75PCTL","DLY-SNOW-80PCTL","DLY-SNOW-PCTALL-GE001TI","DLY-SNOW-PCTALL-GE010TI","DLY-SNOW-PCTALL-GE020TI","DLY-SNOW-PCTALL-GE030TI","DLY-SNOW-PCTALL-GE040TI","DLY-SNOW-PCTALL-GE050TI","DLY-SNOW-PCTALL-GE100TI","DLY-SNOW-PCTALL-GE200TI","DLY-SNWD-20PCTL","DLY-SNWD-25PCTL","DLY-SNWD-33PCTL","DLY-SNWD-40PCTL","DLY-SNWD-50PCTL","DLY-SNWD-60PCTL","DLY-SNWD-67PCTL","DLY-SNWD-75PCTL","DLY-SNWD-80PCTL","DLY-SNWD-PCTALL-GE001WI","DLY-SNWD-PCTALL-GE002WI","DLY-SNWD-PCTALL-GE003WI","DLY-SNWD-PCTALL-GE004WI","DLY-SNWD-PCTALL-GE005WI","DLY-SNWD-PCTALL-GE010WI","DLY-SNWD-PCTALL-GE020WI","DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","DLY-TMIN-STDDEV","MTD-PRCP-NORMAL","MTD-SNOW-NORMAL","YTD-PRCP-NORMAL","YTD-SNOW-NORMAL","day","hour","month"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-01","     7.0","     4.0","     2.0","     0.8","     0.6","     0.3","     0.0","     0.0","     0.1","    17.6","     6.8","     7.0","     4.0","     2.0","     0.8","     0.6","     0.3","     0.1","     0.0","     0.0","     4.3","     3.5","     1.9","     4.0","     6.9","    10.8","    12.5","    15.2","    20.0",,"    0.05",,,"    0.20",,,"    0.59",,"    36.8","    24.1","    16.8","    10.3","     4.7","     0.9","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.7","     0.8","     0.5","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.7","     0.8","     0.4","     0.0","     0.0","     0.0","     0.0","    45.1","     9.6","    53.8","    10.0","    36.3","    10.3","    0.15","     0.0","    0.15","     0.0","01","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-02","     7.0","     4.1","     2.0","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","    17.6","     6.8","     7.0","     4.1","     2.0","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","     4.3","     3.5","     2.0","     4.1","     7.0","    10.9","    12.6","    15.3","    20.1",,"    0.06",,,"    0.20",,,"    0.59",,"    36.8","    24.1","    16.8","    10.4","     4.7","     0.9","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.8","     0.8","     0.6","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.7","     0.8","     0.4","     0.1","     0.1","     0.0","     0.0","    45.0","     9.6","    53.8","    10.0","    36.2","    10.4","    0.30","     0.1","    0.30","     0.1","02","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-03","     7.0","     4.1","     2.0","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","    17.7","     6.8","     7.0","     4.1","     2.0","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","     4.3","     3.5","     2.1","     4.2","     7.1","    10.9","    12.6","    15.3","    20.1",,"    0.06",,,"    0.20",,,"    0.59",,"    36.7","    24.1","    16.7","    10.3","     4.7","     0.9","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.8","     0.8","     0.6","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.8","     0.9","     0.5","     0.1","     0.1","     0.0","     0.0","    44.9","     9.7","    53.7","    10.1","    36.1","    10.4","    0.46","     0.1","    0.46","     0.1","03","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-04","     7.0","     4.1","     2.1","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","    17.7","     6.8","     7.0","     4.1","     2.1","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","     4.3","     3.5","     2.2","     4.3","     7.2","    11.0","    12.7","    15.4","    20.2",,"    0.06",,,"    0.20",,,"    0.59",,"    36.7","    24.0","    16.7","    10.3","     4.6","     0.9","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.8","     0.8","     0.6","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.8","     0.9","     0.5","     0.1","     0.1","     0.0","     0.0","    44.8","     9.7","    53.7","    10.1","    36.0","    10.5","    0.61","     0.1","    0.61","     0.1","04","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-05","     7.0","     4.1","     2.1","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","    17.8","     6.8","     7.0","     4.1","     2.1","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","     4.3","     3.5","     2.2","     4.4","     7.3","    11.1","    12.8","    15.5","    20.3",,"    0.06",,,"    0.20",,,"    0.60",,"    36.7","    24.0","    16.7","    10.3","     4.6","     0.9","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.8","     0.9","     0.6","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.8","     1.0","     0.5","     0.1","     0.1","     0.0","     0.0","    44.7","     9.7","    53.6","    10.1","    35.9","    10.5","    0.76","     0.2","    0.76","     0.2","05","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-06","     7.0","     4.1","     2.1","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","    17.8","     6.8","     7.0","     4.1","     2.1","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","     4.3","     3.5","     2.3","     4.4","     7.4","    11.2","    12.8","    15.5","    20.3",,"    0.06",,,"    0.20",,,"    0.59",,"    36.7","    23.9","    16.7","    10.3","     4.6","     0.8","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.8","     0.9","     0.6","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.9","     1.0","     0.5","     0.1","     0.1","     0.0","     0.0","    44.7","     9.8","    53.6","    10.2","    35.8","    10.5","    0.91","     0.2","    0.91","     0.2","06","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-07","     7.0","     4.1","     2.1","     0.9","     0.5","     0.2","     0.0","     0.0","     0.0","    17.9","     6.8","     7.0","     4.1","     2.1","     0.9","     0.5","     0.2","     0.0","     0.0","     0.0","     4.3","     3.5","     2.3","     4.5","     7.5","    11.2","    12.9","    15.6","    20.4",,"    0.06",,,"    0.20",,,"    0.59",,"    36.7","    23.9","    16.7","    10.3","     4.6","     0.8","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.9","     0.9","     0.6","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.9","     1.0","     0.6","     0.1","     0.1","     0.0","     0.0","    44.6","     9.8","    53.6","    10.2","    35.7","    10.5","    1.06","     0.2","    1.06","     0.2","07","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-08","     6.9","     4.1","     2.1","     0.9","     0.5","     0.2","     0.0","     0.0","     0.0","    17.9","     6.8","     6.9","     4.1","     2.1","     0.9","     0.5","     0.2","     0.0","     0.0","     0.0","     4.3","     3.5","     2.3","     4.5","     7.5","    11.3","    13.0","    15.6","    20.4",,"    0.06",,,"    0.20",,,"    0.59",,"    36.7","    23.9","    16.7","    10.3","     4.6","     0.8","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.9","     0.9","     0.7","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.9","     1.1","     0.6","     0.1","     0.1","     0.0","     0.0","    44.6","     9.8","    53.6","    10.2","    35.6","    10.5","    1.20","     0.3","    1.20","     0.3","08","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-09","     6.9","     4.0","     2.1","     0.9","     0.5","     0.2","     0.0","     0.0","     0.0","    18.0","     6.8","     6.9","     4.0","     2.1","     0.9","     0.5","     0.2","     0.0","     0.0","     0.0","     4.3","     3.5","     2.3","     4.5","     7.5","    11.3","    13.0","    15.7","    20.5",,"    0.06",,,"    0.20",,,"    0.60",,"    36.7","    23.8","    16.7","    10.3","     4.6","     0.8","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.9","     0.9","     0.7","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     2.0","     1.1","     0.6","     0.1","     0.1","     0.0","     0.0","    44.5","     9.8","    53.5","    10.2","    35.5","    10.5","    1.34","     0.3","    1.34","     0.3","09","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-10","     6.8","     4.0","     2.1","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","    18.1","     6.8","     6.8","     4.0","     2.1","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","     4.3","     3.5","     2.3","     4.5","     7.5","    11.3","    13.0","    15.7","    20.5",,"    0.06",,,"    0.20",,,"    0.60",,"    36.6","    23.8","    16.7","    10.3","     4.6","     0.8","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     1.9","     0.9","     0.7","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     2.0","     1.2","     0.6","     0.1","     0.1","     0.0","     0.0","    44.5","     9.8","    53.5","    10.2","    35.5","    10.5","    1.50","     0.3","    1.50","     0.3","10","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-11","     6.8","     3.9","     2.0","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","    18.1","     6.8","     6.8","     3.9","     2.0","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","     4.2","     3.5","     2.3","     4.4","     7.5","    11.3","    13.0","    15.7","    20.5",,"    0.06",,,"    0.20",,,"    0.60",,"    36.5","    23.7","    16.7","    10.3","     4.6","     0.8","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     2.0","     0.9","     0.7","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     2.0","     1.2","     0.6","     0.1","     0.1","     0.0","     0.0","    44.5","     9.8","    53.6","    10.2","    35.4","    10.4","    1.65","     0.4","    1.65","     0.4","11","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-12","     6.7","     3.8","     1.9","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","    18.2","     6.8","     6.7","     3.8","     1.9","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","     4.2","     3.4","     2.2","     4.4","     7.5","    11.3","    13.0","    15.7","    20.5",,"    0.06",,,"    0.20",,,"    0.60",,"    36.4","    23.6","    16.6","    10.3","     4.6","     0.8","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     2.0","     0.9","     0.7","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     2.0","     1.2","     0.6","     0.1","     0.1","     0.0","     0.0","    44.5","     9.7","    53.6","    10.2","    35.4","    10.4","    1.79","     0.4","    1.79","     0.4","12","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-13","     6.7","     3.8","     1.9","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","    18.3","     6.8","     6.7","     3.8","     1.9","     0.8","     0.5","     0.2","     0.0","     0.0","     0.0","     4.2","     3.4","     2.2","     4.3","     7.4","    11.3","    13.0","    15.7","    20.6",,"    0.06",,,"    0.20",,,"    0.61",,"    36.3","    23.5","    16.6","    10.4","     4.6","     0.8","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     2.0","     0.9","     0.7","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     2.0","     1.3","     0.6","     0.1","     0.1","     0.0","     0.0","    44.5","     9.7","    53.6","    10.2","    35.3","    10.3","    1.93","     0.4","    1.93","     0.4","13","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US""    "," 33.6300"," -84.4417"," 307.8","01-14","     6.7","     3.8","     1.9","     0.7","     0.5","     0.2","     0.0","     0.0","     0.0","    18.3","     6.9","     6.7","     3.8","     1.9","     0.7","     0.5","     0.2","     0.0","     0.0","     0.0","     4.2","     3.4","     2.2","     4.3","     7.4","    11.3","    13.0","    15.7","    20.6",,"    0.06",,,"    0.20",,,"    0.61",,"    36.2","    23.5","    16.6","    10.4","     4.6","     0.8","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     2.0","     1.0","     0.7","     0.2","     0.1","     0.1","     0.0","     0.0",," -9999.0",,," -9999.0",,," -9999.0",,"     2.0","     1.3","     0.6","     0.1","     0.1","     0.0","     0.0","    44.5","     9.7","    53.6","    10.2","    35.3","    10.3","    2.08","     0.5","    2.08","     0.5","14","99","01"
